mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,0.122,0.548,0.816,0,0.335,-4.209,0.0465,95.39,0.557
0,0.27,0.659,0.617,0,0.187,-5.862,0.0649,119.858,0.187
0,0.041,0.612,0.862,0,0.0907,-2.903,0.037,123.849,0.354
0,0.0783,0.761,0.695,0,0.14,-4.048,0.0886,118.004,0.69
0,0.0714,0.646,0.761,0,0.222,-2.557,0.0385,129.916,0.472
0,0.00515,0.654,0.787,0,0.144,-4.999,0.0502,123.978,0.409
0,0.196,0.673,0.704,0,0.0898,-8.056,0.36,86.919,0.372
0,0.00711,0.507,0.828,2.44e-05,0.261,-6.023,0.0449,178.032,0.489
0,0.194,0.728,0.636,2.57e-05,0.515,-5.824,0.0366,124.023,0.433
0,0.0332,0.789,0.711,0,0.0876,-4.248,0.041,112.985,0.753
0,0.0578,0.756,0.815,2e-05,0.387,-5.122,0.046,120.002,0.927
0,0.0512,0.692,0.883,0,0.228,-4.698,0.0582,122.984,0.614
0,0.137,0.697,0.875,0,0.28,-4.621,0.034,140.069,0.774
0,0.00178,0.721,0.763,0.000238,0.0945,-4.748,0.0382,117.981,0.436
0,0.0697,0.614,0.934,0,0.121,-3.709,0.07,116.001,0.436
0,0.00912,0.688,0.742,1.37e-06,0.186,-6.363,0.0496,110.026,0.74
0,0.0155,0.628,0.877,5.97e-06,0.113,-4.205,0.046,101.992,0.721
0,0.0343,0.645,0.786,3.57e-06,0.139,-5.337,0.0554,124.962,0.597
0,0.0148,0.569,0.85,0,0.245,-3.914,0.0369,122.042,0.551
0,0.141,0.66,0.667,5.26e-05,0.107,-6.87,0.0474,114.901,0.452
0,0.0132,0.521,0.877,0.0806,0.0929,-5.444,0.0683,180.007,0.199
0,0.0493,0.668,0.563,0,0.119,-6.433,0.0522,103.116,0.305
0,0.212,0.573,0.739,0,0.175,-5.455,0.0581,120.077,0.363
0,0.178,0.761,0.739,3.35e-06,0.23,-3.591,0.0369,118.997,0.656
0,0.021,0.582,0.889,0,0.687,-4.386,0.0491,121.977,0.438
0,0.068,0.929,0.67,0,0.318,-3.977,0.0488,120.935,0.938
0,0.0586,0.578,0.639,0,0.0944,-5.749,0.0374,108.045,0.296
0,0.412,0.799,0.419,0,0.203,-7.99,0.174,156.055,0.716
0,0.19,0.706,0.914,0,0.0886,-5.668,0.0615,124.03,0.299
0,0.213,0.617,0.756,0,0.152,-5.811,0.104,121.828,0.432
0,0.168,0.734,0.874,1.14e-05,0.0489,-3.158,0.0662,122.953,0.905
0,0.151,0.421,0.669,0,0.635,-4.724,0.127,175.788,0.326
0,0.00813,0.588,0.701,0,0.2,-6.39,0.0402,104.988,0.443
0,0.369,0.779,0.705,7.91e-06,0.124,-3.895,0.0344,101.022,0.946
0,0.0593,0.704,0.701,0,0.126,-5.44,0.0596,88.016,0.606
0,0.057,0.695,0.656,0,0.267,-6.038,0.0489,90.986,0.346
0,0.051,0.774,0.792,0,0.155,-4.021,0.0523,122.062,0.507
0,0.021,0.672,0.855,0,0.323,-3.764,0.0397,123.056,0.646
0,0.0636,0.659,0.801,0,0.341,-4.234,0.0435,105.991,0.334
0,0.321,0.677,0.696,0,0.42,-6.181,0.119,90.03,0.464
0,0.171,0.662,0.794,0,0.0883,-4.239,0.0533,104.951,0.641
0,0.0238,0.783,0.912,0,0.339,-3.713,0.243,98.025,0.749
0,0.00839,0.852,0.698,1.03e-06,0.0773,-7.206,0.0629,113.039,0.324
0,0.262,0.696,0.686,0,0.174,-6.113,0.0309,115.982,0.7
0,0.247,0.697,0.535,0,0.569,-6.504,0.068,82.959,0.594
0,0.011,0.555,0.879,0,0.298,-2.484,0.0983,113.852,0.691
0,0.0744,0.54,0.793,0,0.354,-4.379,0.0493,112.219,0.399
0,0.00614,0.737,0.846,0,0.0486,-4.51,0.22,87.981,0.546
0,0.0112,0.746,0.765,0,0.0936,-4.41,0.0993,114.044,0.737
0,0.0515,0.653,0.623,0,0.0869,-5.989,0.0938,175.884,0.48
0,0.00775,0.638,0.688,0,0.126,-4.056,0.0407,129.856,0.434
0,0.0531,0.7,0.904,8.03e-06,0.105,-4.03,0.0431,103.039,0.347
0,0.127,0.715,0.635,0,0.0862,-6.591,0.0791,112.887,0.39
0,0.0133,0.708,0.758,1.04e-05,0.418,-4.453,0.0367,101.017,0.272
0,0.0179,0.73,0.558,0,0.128,-6.535,0.0786,100.066,0.618
0,0.00088,0.735,0.694,0,0.0582,-5.258,0.0387,121.46,0.777
0,0.11,0.585,0.82,0,0.134,-4.428,0.0774,169.895,0.396
0,0.264,0.503,0.754,5.85e-05,0.297,-3.634,0.0424,116.524,0.597
0,0.0367,0.462,0.745,0,0.0795,-6.588,0.0699,100.042,0.254
0,0.101,0.747,0.829,0,0.168,-6.157,0.106,119.982,0.793
0,0.105,0.738,0.85,0,0.23,-3.049,0.0642,98.013,0.865
0,0.000817,0.611,0.88,1.01e-05,0.0598,-6.571,0.0378,144.996,0.771
0,0.155,0.756,0.54,0,0.0551,-5.456,0.125,108.274,0.642
0,0.164,0.796,0.694,0,0.0703,-3.979,0.234,98.005,0.847
0,0.0896,0.686,0.856,0,0.0648,-2.717,0.0426,123.997,0.733
0,0.267,0.81,0.788,0.000172,0.196,-3.663,0.0447,135.991,0.845
0,0.0119,0.548,0.721,0,0.216,-4.466,0.0472,177.918,0.594
0,0.0264,0.722,0.59,0,0.0793,-7.512,0.0435,104.931,0.368
0,0.092,0.827,0.73,1.35e-05,0.258,-5.324,0.0934,95.003,0.679
0,0.0948,0.686,0.83,1.33e-06,0.182,-4.437,0.0369,123.032,0.486
0,0.144,0.611,0.651,1.7e-05,0.105,-6.973,0.0589,122.983,0.351
0,0.00565,0.648,0.641,3.63e-06,0.109,-5.521,0.0389,184.021,0.505
0,0.131,0.862,0.753,2.01e-06,0.077,-5.356,0.0625,105.039,0.827
0,0.212,0.447,0.553,0,0.165,-4.817,0.0322,149.877,0.252
0,0.00124,0.47,0.709,0.00121,0.302,-4.563,0.0299,98.036,0.247
0,0.237,0.67,0.743,0,0.465,-4.993,0.0393,125.944,0.571
0,0.151,0.721,0.745,1.24e-06,0.372,-3.508,0.0366,90.988,0.699
0,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,99.048,0.569
0,0.00543,0.611,0.797,0.00137,0.26,-7.627,0.0533,120.041,0.518
0,0.122,0.548,0.816,0,0.335,-4.209,0.0465,95.39,0.557
0,0.317,0.667,0.759,0,0.443,-6.639,0.033,100.033,0.561
0,0.199,0.799,0.539,1.66e-05,0.165,-6.351,0.0421,136.948,0.394
0,0.631,0.731,0.442,0.000399,0.154,-11.341,0.185,124.962,0.462
0,0.0156,0.708,0.736,0,0.621,-5.597,0.0767,99.922,0.491
0,0.217,0.756,0.609,0.00474,0.096,-7.927,0.0544,117.023,0.537
0,0.41,0.669,0.822,9.52e-05,0.202,-4.721,0.0548,125.967,0.137
0,0.75,0.788,0.273,0,0.15,-15.789,0.679,77.398,0.497
0,0.00517,0.52,0.903,0,0.254,-5.497,0.042,74.988,0.652
0,0.256,0.668,0.679,0,0.118,-5.016,0.292,93.948,0.682
0,0.0364,0.455,0.66,0,0.181,-4.357,0.168,184.353,0.568
0,0.136,0.858,0.507,1.48e-06,0.101,-6.557,0.0383,140.03,0.849
0,0.223,0.871,0.513,0.000149,0.115,-16.848,0.299,95.965,0.573
0,0.128,0.778,0.559,0,0.399,-7.109,0.0776,129.989,0.678
0,0.122,0.609,0.754,0.00185,0.0727,-5.548,0.0421,125.076,0.387
0,0.042,0.686,0.541,0,0.0675,-4.993,0.0493,120.082,0.724
0,0.00099,0.558,0.553,0.076,0.174,-8.54,0.0238,95.978,0.338
0,0.0626,0.764,0.74,0.000231,0.156,-5.544,0.0291,119.989,0.976
0,0.0577,0.547,0.885,0,0.179,-3.532,0.0577,168.019,0.782
0,0.521,0.601,0.844,0,0.1,-5.366,0.293,79.844,0.754
0,0.0469,0.674,0.778,0,0.145,-5.367,0.0376,90.01,0.816
